X,Y,ID,VARIEDADE,PATRON,ORIXEN,DATA PLANTACION,DATA ENXERTADO,X ETRS89 UTM H29,Y ETRS89 UTM H292,OBSERVACIONS,icon_url
-7.89410231425658,42.557892436254,"1",XUDIA,SATIVA,VIVEIROS A FRAGA (ABADÍN),"2019","-",590783.955075418,4712314.00526813,,./0.png
-7.89423755936358,42.5578951911536,"2",XUDIA,SATIVA,VIVEIROS A FRAGA (ABADÍN),"2019","-",590772.848591642,4712314.16623166,,./0.png
-7.8943515950112,42.5578972976721,"3",XUDIA,SATIVA,VIVEIROS A FRAGA (ABADÍN),"2019","-",590763.484167449,4712314.27794232,,./0.png
-7.89448292202429,42.557899306226,"4",XUDIA,SATIVA,VIVEIROS A FRAGA (ABADÍN),"2019","-",590752.700409806,4712314.36026108,,./0.png
-7.89460415766656,42.5579049239377,"5",XUDIA,SATIVA,VIVEIROS A FRAGA (ABADÍN),"2019","-",590742.73983977,4712314.85417364,,./0.png
-7.89471840132304,42.557908991405,"6",XUDIA,SATIVA,VIVEIROS A FRAGA (ABADÍN),"2019","-",590733.355501058,4712315.18344868,,./0.png
-7.8948446892365,42.5579124335999,"7",XUDIA,SATIVA,VIVEIROS A FRAGA (ABADÍN),"2019","-",590722.983337218,4712315.43040496,,./0.png
-7.89399319581579,42.5578638145864,"8",XUDIA,SATIVA,VIVEIROS A FRAGA (ABADÍN),"2019","2023",590792.954283754,4712310.94403251,ENXERTADO CON PUAS DA VELA,./0.png
-7.89386250012153,42.5577976862331,"9",XUDIA,SATIVA,VIVEIROS A FRAGA (ABADÍN),"2019","-",590803.779200777,4712303.74114096,,./0.png
-7.89395874918416,42.5577986153996,"10",XUDIA,SATIVA,VIVEIROS A FRAGA (ABADÍN),"2019","-",590795.876599756,4712303.74114096,,./0.png
-7.8940560270265,42.5577980717488,"11",XUDIA,SATIVA,VIVEIROS A FRAGA (ABADÍN),"2019","-",590787.891679975,4712303.57650343,,./0.png
-7.89417329131371,42.5578014275827,"12",XUDIA,SATIVA,VIVEIROS A FRAGA (ABADÍN),"2019","-",590778.260384981,4712303.82345972,,./0.png
-7.89429852402321,42.5578078255285,"13",XUDIA,SATIVA,VIVEIROS A FRAGA (ABADÍN),"2019","-",590767.970539903,4712304.39969104,,./0.png
-7.89442383527715,42.5578097760953,"14",XUDIA,SATIVA,VIVEIROS A FRAGA (ABADÍN),"2019","-",590757.680694824,4712304.4820098,,./0.png
-7.89455008371409,42.5578154422338,"15",XUDIA,SATIVA,VIVEIROS A FRAGA (ABADÍN),"2019","-",590747.308530984,4712304.97592237,,./0.png
-7.89466633239279,42.5578195290975,"16",XUDIA,SATIVA,VIVEIROS A FRAGA (ABADÍN),"2019","-",590737.759554751,4712305.30519741,,./0.png
-7.8947815915758,42.5578228649651,"17",XUDIA,SATIVA,VIVEIROS A FRAGA (ABADÍN),"2019","-",590728.292897279,4712305.55215369,,./0.png
-7.89363255084631,42.5577020580277,"18",XUDIA,SATIVA,VIVEIROS A FRAGA (ABADÍN),"2019","-",590822.794834482,4712293.36897712,,./0.png
-7.89375291435781,42.5577002548849,"19",XUDIA,SATIVA,VIVEIROS A FRAGA (ABADÍN),"2019","-",590812.916583206,4712293.03970207,,./0.png
-7.89387118103205,42.5577036207059,"20",XUDIA,SATIVA,VIVEIROS A FRAGA (ABADÍN),"2019","-",590803.202969452,4712293.28665836,,./0.png
-7.89399551564346,42.5577040796456,"21",NEGRAL,SATIVA,VIVEIROS A FRAGA (ABADÍN),"2019","-",590792.995443134,4712293.2043396,,./0.png
-7.89411275357095,42.5577089179533,"22",NEGRAL,SATIVA,VIVEIROS A FRAGA (ABADÍN),"2019","-",590783.36414814,4712293.6159334,,./0.png
-7.89423497830849,42.5577152869354,"23",NEGRAL,SATIVA,VIVEIROS A FRAGA (ABADÍN),"2019","-",590773.321259343,4712294.19216472,,./0.png
-7.8943522817146,42.5577164189632,"24",NEGRAL,SATIVA,VIVEIROS A FRAGA (ABADÍN),"2019","-",590763.689964349,4712294.19216472,,./0.png
-7.89447858229659,42.5577191203501,"25",NEGRAL,SATIVA,VIVEIROS A FRAGA (ABADÍN),"2019","-",590753.31780051,4712294.35680224,,./0.png
